"census_year","vendorid"
2004,"Red2"
2004,"MI12"
2004,"Ri12"
2004,"Se7"
2004,"Na2"
2004,"Bou"
2004,"CO32"
2004,"Fe5"
2004,"HO13"
2004,"Hud"
2004,"Pe1"
2004,"Pe2"
2004,"PE6"
2004,"SO9"
2004,"Syn"
2004,"Wi24"
2004,"SA5"
2004,"Ev2"
2004,"Ech"
2004,"Ba8"
2004,"Se17"
2004,"Glo"
2004,"Ni1"
2004,"SE2"
2004,"ABU"
2004,"Orn"
2004,"PR3"
2004,"So12"
2004,"Tu6"
2004,"Ge2"
2004,"Jo1"
2004,"Pin"
2004,"Ves"
2004,"CO30"
2004,"Eo2"
2004,"Bu2"
2004,"Par"
2004,"VAN"
2004,"Ga1"
2004,"Bo17"
2004,"DAM"
2004,"Kit"
2004,"Lej"
2004,"Roh"
2004,"Se26"
2004,"WE19"
2004,"Ter"
2004,"Tho"
2004,"Com"
2004,"Ers"
2004,"FO7"
2004,"GR28"
2004,"He8"
2004,"Na6"
2004,"ONT"
2004,"Shu"
2004,"Sto"
2004,"Th3"
2004,"Thy"
2004,"TT2"
2004,"UND"
2004,"Pla"
2004,"So1"
2004,"Kus"
2004,"Ca25"
2004,"GRI"
2004,"Mey"
2004,"MIC"
2004,"SEY"
2004,"Cr1"
2004,"Hps"
2004,"LED"
2004,"RI2"
2004,"VI5"
2004,"REN"
2004,"LI1"
2004,"LIN"
2004,"LO8"
2004,"MEL"
2004,"Ga21"
2004,"Sa9"
2004,"EAR"
2004,"DEG"
2004,"SU2"
2004,"IN8"
2004,"YU2"
2004,"ME9"
2004,"Wi23"
2004,"Ban"
2004,"DAC"
2004,"GL4"
2004,"BO21"
2004,"CH15"
2004,"FI6"
2004,"BI3"
2004,"Bl7"
2004,"Bo20"
2004,"Da6"
2004,"Ga19"
2004,"Go6"
2004,"La1"
2004,"Ron"
2004,"REV"
2004,"SW8"
2004,"GA17"
2004,"Se16"
2004,"LA8"
2004,"Goo"
2004,"GOU"
2004,"Hi6"
2004,"WE20"
2004,"MCF"
2004,"ALB"
2004,"BWI"
2004,"DOM"
2004,"Fa1"
2004,"FIS"
2004,"HAL"
2004,"MA12"
2004,"Mo13"
2004,"SH9"
2004,"Ver"
2004,"EC2"
2004,"Fi1"
2004,"GA18"
2004,"Jun"
2004,"Ki4"
2004,"SH2"
2004,"WE14"
2004,"AU2"
2004,"Gur"
2004,"MA13"
2004,"Sa6"
2004,"TH4"
2004,"WI16"
2004,"FI7"
2004,"Ha3"
2004,"BE6"
2004,"DAE"
2004,"Ho2"
2004,"Osb"
2004,"PET"
2004,"SE4"
2004,"SIE"
2004,"VI3"
2004,"Wi2"
2004,"PER"
2004,"Lan"
2004,"All"
2004,"BE7"
2004,"BO18"
2004,"Bo19"
2004,"BU8"
2004,"CH14"
2004,"CH7"
2004,"CO23"
2004,"DES"
2004,"GR29"
2004,"HE13"
2004,"HE17"
2004,"Hum"
2004,"ISL"
2004,"Jor"
2004,"LE4"
2004,"LET"
2004,"LI2"
2004,"Ma19"
2004,"May"
2004,"MID"
2004,"MOU"
2004,"OLD"
2004,"Or10"
2004,"Pag"
2004,"RA5"
2004,"RIS"
2004,"Ros"
2004,"SE14"
2004,"SE28"
2004,"SEE"
2004,"TE7"
2004,"WE10"
2004,"WET"
2004,"WO8"
2004,"Be4"
2004,"BOT"
2004,"Bu3"
2004,"Cl3"
2004,"De6"
2004,"DOR"
2004,"HIL"
2004,"LOC"
2004,"RUP"
2004,"SAU"
2004,"ScF"
2004,"Coo"
2004,"Hi3"
2004,"Vi4"
2004,"TE4"
2004,"ST18"
2004,"Ha5"
2004,"RAW"
2004,"BAL"
2004,"Den"
2004,"Hig"
2004,"SE8"
2004,"KIL"
2004,"LIL"
2004,"UP2"
2004,"Bu1"
2004,"FO4"
2004,"HA20"
2004,"GA22"
2004,"ABB"
2004,"Re6"
2004,"TWI"
2004,"AG7"
2004,"BER"
2004,"DAB"
2004,"DGS"
2004,"DOW"
2004,"ECO"
2004,"FO13"
2004,"GAZ"
2004,"ME7"
2004,"Ol2"
2004,"Pep"
2004,"RE8"
2004,"ROY"
2004,"Sa12"
2004,"Se24"
2004,"SGF"
2004,"Sh14"
2004,"SK2"
2004,"Sme1"
2004,"SO25"
2004,"Wi15"
2004,"BAK"
2004,"SAK"
2004,"Uni"
2004,"MA10"
2004,"ENC"
2004,"Gr27"
2004,"OHI"
2004,"SE25"
2004,"SI5"
2004,"GA7"
2004,"SU1"
2004,"BUT"
2004,"Moo"
2004,"SN2"
2004,"VA3"
2004,"CA26"
2004,"BE8"
2004,"ASG"
2004,"Pp2"
2004,"SEG"
2004,"HE12"
2004,"SH13"
2004,"Wo6"
2004,"BEH"
2004,"SA10"
2004,"Ada"
2004,"ECK"
2004,"Sou"
2004,"Mo20"
2004,"Sw9"
2004,"SE19"
2004,"REE"
2004,"Co31"
2004,"OR9"
2004,"PYB"
2004,"HO12"
2004,"AmI"
2004,"EA4"
2004,"SE27"
2004,"PR9"
2004,"Du7"
2004,"ELY"
2004,"Ed2"
2004,"Rai"
2004,"TA5"
2004,"AL25"
2004,"HI10"
2004,"DE2"
2004,"Ste"
2004,"AL6"
2004,"Br12"
2004,"FRE"
2004,"HO1"
2004,"RA6"
2004,"GO9"
2004,"ALF"
2004,"ED3"
2004,"Mc3"
2004,"Wpl"
2004,"DIL"
2004,"HO4"
2004,"BEA"
2004,"GA16"
2004,"CON"
2004,"ON3"
2004,"FE6"
2004,"Gl2"
2004,"Dai"
2004,"Bor"
2004,"COR"
2004,"SNA"
2004,"PL3"
2004,"Ab2"
2004,"To1"
2004,"Ma18"
2004,"To3"
2004,"Al8"
2004,"ME2"
2004,"BA16"
2004,"JO6"
2004,"Pe7"
2004,"Te8"
2004,"WE11"
2004,"CAR"
2004,"BO9"
2004,"To10"
2004,"Se15"
2004,"MI8"
2004,"PO4"
2004,"BEC"
2004,"PUR"
2004,"To9"
2004,"HE18"
2004,"Ap6"
2004,"Go8"
2004,"GR22"
2004,"ZUB"
2004,"ZEL"
2004,"Amm"
2004,"JO3"
2004,"OR1"
2004,"HI2"
2004,"Sh7"
2004,"WI1"
2004,"Fed"
2004,"FR4"
2004,"SHA"
2004,"MI1"
2004,"GR26"
2004,"LI7"
2004,"We4"
2004,"Kes"
2004,"WI12"
2004,"BA6"
2004,"Sh15"
